ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
8.11.0,true,base,@timestamp,date,core,,2016-05-23T08:05:34.853Z,Date/time when the event originated.
8.11.0,true,base,tags,keyword,core,array,"[""production"", ""env2""]",List of keywords used to tag each event.
8.11.0,true,agent,agent.groups,keyword,custom,,,List of groups the agent belong to.
8.11.0,true,agent,agent.host.architecture,keyword,core,,x86_64,Operating system architecture.
8.11.0,true,agent,agent.host.boot.id,keyword,extended,,88a1f0ed-5ae5-41ee-af6b-41921c311872,Linux boot uuid taken from /proc/sys/kernel/random/boot_id
8.11.0,true,agent,agent.host.cpu.usage,float,extended,,,"Percent CPU used, between 0 and 1."
8.11.0,true,agent,agent.host.disk.read.bytes,long,extended,,,The number of bytes read by all disks.
8.11.0,true,agent,agent.host.disk.write.bytes,long,extended,,,The number of bytes written on all disks.
8.11.0,true,agent,agent.host.domain,keyword,extended,,CONTOSO,Name of the directory the group is a member of.
8.11.0,true,agent,agent.host.geo.city_name,keyword,core,,Montreal,City name.
8.11.0,true,agent,agent.host.geo.continent_code,keyword,core,,NA,Continent code.
8.11.0,true,agent,agent.host.geo.continent_name,keyword,core,,North America,Name of the continent.
8.11.0,true,agent,agent.host.geo.country_iso_code,keyword,core,,CA,Country ISO code.
8.11.0,true,agent,agent.host.geo.country_name,keyword,core,,Canada,Country name.
8.11.0,true,agent,agent.host.geo.location,geo_point,core,,"{ ""lon"": -73.614830, ""lat"": 45.505918 }",Longitude and latitude.
8.11.0,true,agent,agent.host.geo.name,keyword,extended,,boston-dc,User-defined description of a location.
8.11.0,true,agent,agent.host.geo.postal_code,keyword,core,,94040,Postal code.
8.11.0,true,agent,agent.host.geo.region_iso_code,keyword,core,,CA-QC,Region ISO code.
8.11.0,true,agent,agent.host.geo.region_name,keyword,core,,Quebec,Region name.
8.11.0,true,agent,agent.host.geo.timezone,keyword,core,,America/Argentina/Buenos_Aires,Time zone.
8.11.0,true,agent,agent.host.hostname,keyword,core,,,Hostname of the host.
8.11.0,true,agent,agent.host.id,keyword,core,,,Unique host id.
8.11.0,true,agent,agent.host.ip,ip,core,array,,Host ip addresses.
8.11.0,true,agent,agent.host.mac,keyword,core,array,"[""00-00-5E-00-53-23"", ""00-00-5E-00-53-24""]",Host MAC addresses.
8.11.0,true,agent,agent.host.name,keyword,core,,,Name of the host.
8.11.0,true,agent,agent.host.network.egress.bytes,long,extended,,,The number of bytes sent on all network interfaces.
8.11.0,true,agent,agent.host.network.egress.packets,long,extended,,,The number of packets sent on all network interfaces.
